,0,precio,combustible,CV,km,lugar,año,link
2404,Jeep Compass,27.390 €, 1.6 Mjt Longitude FWD,  Diesel,                              Castellon             ,                                  2021             ,                 10 km             ,https://www.coches.com/km0/seminuevo-jeep-compass-16-mjt-longitude-fwd-en-castellon.htm?id=6059480
2405,Volkswagen Passat,22.500 €, 1.5 TSI ACT Executive 110kW,  Gasolina,                              Leon             ,                                  2020             ,                 18.223 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-15-tsi-act-executive-110kw-en-leon.htm?id=6058896
2406,Ford Fiesta,1.500 €, 1.1 CTX,  Gasolina,                              Madrid             ,                                  1992             ,                 90.048 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-11-ctx-en-madrid.htm?id=6040118
2407,Volkswagen Sports…,9.900 €, 1.5 TSI EVO Advance DSG7 110kW,  Gasolina,                              Valencia             ,                                  2014             ,                 182.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-15-tsi-evo-advance-dsg7-110kw-en-valencia.htm?id=6019380
2408,Mercedes Clase E,55.900 €,E Cabrio 400 4Matic 9G-Tronic,  Gasolina,                              Ciudad Real             ,                                  2018             ,                 42.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-cabrio-400-4matic-9g-tronic-en-ciudad+real.htm?id=6001039
2409,Opel Mokka,18.300 €, 1.2T S&S Edition,  Gasolina,                              Alava             ,                                  2021             ,                 4 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-alava.htm?id=5999647
2410,Opel Corsa,13.799 €, 1.2T XHL S-S GS-Line 100,  Gasolina,                              Alava             ,                                  2021             ,                 6 km             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-gs-line-100-en-alava.htm?id=5985749
2411,Citroen C3,9.590 €, 1.2 PureTech S&S Feel 83,  Gasolina,                              Madrid             ,                                  2019             ,                 24.900 km             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-12-puretech-s_s-feel-83-en-madrid.htm?id=5972033
2412,Volkswagen Golf,14.812 €, 1.0 TSI Edition 85kW,  Gasolina,                              Valencia             ,                                  2018             ,                 23.088 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-edition-85kw-en-valencia.htm?id=5967409
2413,Volkswagen Arteon,28.850 €, 2.0TDI Elegance DSG7 110kW,  Diesel,                              Huelva             ,                                  2017             ,                 43.500 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-arteon-20tdi-elegance-dsg7-110kw-en-huelva.htm?id=5962069
2414,Kia Stonic,15.100 €, 1.0 T-GDi MHEV iMT Concept 100,  Gasolina,                              Burgos             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-kia-stonic-10-t-gdi-mhev-imt-concept-100-en-burgos.htm?id=5961167
2415,Kia Rio,11.500 €, 1.2 DPi Concept 84,  Gasolina,                              Burgos             ,                                  2022             ,                 5 km             ,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-concept-84-en-burgos.htm?id=5961089
2416,Kia Sorento,39.900 €, 1.6 T-GDi PHEV Drive 4x4,  Híbrido,                              Burgos             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-phev-drive-4x4-en-burgos.htm?id=5961027
2417,Opel Astra,13.999 €, ST 1.2T S-S GS Line 130,  Gasolina,                              Alava             ,                                  2020             ,                 19.058 km             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-12t-s-s-gs-line-130-en-alava.htm?id=5959547
2418,Fiat Tipo,15.200 €, 1.0 City Cross,  Gasolina,                              Ourense             ,                                  2021             ,                 3.100 km             ,https://www.coches.com/km0/seminuevo-fiat-tipo-10-city-cross-en-ourense.htm?id=5956831
2419,Opel Mokka,18.300 €, 1.2T S&S Edition,  Gasolina,                              Alava             ,                                  2021             ,                 3 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-alava.htm?id=5943039
2420,Bmw Serie 3,16.499 €,335i Cabrio Aut.,  Gasolina,                              Barcelona             ,                                  2009             ,                 199.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-335i-cabrio-aut-en-barcelona.htm?id=5926605
2421,Opel Mokka,18.300 €, 1.2T S&S Edition,  Gasolina,                              Alava             ,                                  2021             ,                 5 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-alava.htm?id=5924895
2422,Dfsk Serie K,19.950 €, Pick Up K01He,  Eléctrico,                              Sevilla             ,                                  2020             ,                 100 km             ,https://www.coches.com/km0/seminuevo-dfsk-serie+k-pick-up-k01he-en-sevilla.htm?id=5884921
2423,Opel Corsa,13.799 €, 1.2T XHL S-S GS-Line 100,  Gasolina,                              Alava             ,                                  2021             ,                 5 km             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-gs-line-100-en-alava.htm?id=5874835
2424,Volkswagen Golf,9.999 €, Cabrio 1.6TDI CR BMT 105,  Diesel,                              Alicante             ,                                  2012             ,                 115.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-cabrio-16tdi-cr-bmt-105-en-alicante.htm?id=5869393
2425,Opel Corsa,13.799 €, 1.2T XHL S-S GS-Line 100,  Gasolina,                              Alava             ,                                  2021             ,                 2 km             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-gs-line-100-en-alava.htm?id=5862461
2426,Opel Corsa,13.250 €, 1.2T XHL S-S Edition 100,  Gasolina,                              Alava             ,                                  2021             ,                 4 km             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-edition-100-en-alava.htm?id=5862449
2427,Land Rover Discov…,17.769 €, 2.0eD4 Pure 4x2 150,  Diesel,                              Lleida             ,                                  2017             ,                 126.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-lleida.htm?id=5862235
2428,Opel Corsa,13.250 €, 1.2T XHL S-S Edition 100,  Gasolina,                              Alava             ,                                  2021             ,                 3 km             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-edition-100-en-alava.htm?id=5827867
2429,Renault Mégane,13.900 €, 1.3 TCe GPF Business 103kW,  Gasolina,                              Madrid             ,                                  2018             ,                 52.680 km             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-13-tce-gpf-business-103kw-en-madrid.htm?id=5826503
2430,Opel Crossland,18.199 €, 1.2 S&S Business Elegance 130,  Gasolina,                              Alava             ,                                  2021             ,                 5 km             ,https://www.coches.com/km0/seminuevo-opel-crossland-12-s_s-business-elegance-130-en-alava.htm?id=5820987
2431,Mercedes Clase GLA,39.400 €,GLA 200d 8G-DCT,  Diesel,                              Madrid             ,                                  2021             ,                 0 km             ,https://www.coches.com/km0/seminuevo-mercedes-clase+gla-gla-200d-8g-dct-en-madrid.htm?id=5766417
2432,Bmw Serie 5,21.499 €,550iA,  Gasolina,                              Lugo             ,                                  2010             ,                 154.400 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-550ia-en-lugo.htm?id=5729213
2433,Volkswagen Multiv…,31.900 €, 2.0Bi-TDI Comfortline 4M 180,  Diesel,                              Huesca             ,                                  2010             ,                 150.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20bi-tdi-comfortline-4m-180-en-huesca.htm?id=5675751
2434,Jaguar XF,11.500 €, 5.0 V8 Portfolio Aut.,  Gasolina,                              Valencia             ,                                  2009             ,                 180.950 km             ,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xf-50-v8-portfolio-aut-en-valencia.htm?id=5673317
2435,Ssangyong Korando,18.000 €, D16T Urban 4x2,  Diesel,                              Burgos             ,                                  2022             ,                 5.710 km             ,https://www.coches.com/km0/seminuevo-ssangyong-korando-d16t-urban-4x2-en-burgos.htm?id=5505364
2436,Volkswagen Caddy,9.490 €, 2.0TDI Trendline 4M,  Diesel,                              Barcelona             ,                                  2015             ,                 150.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-20tdi-trendline-4m-en-barcelona.htm?id=5463544
2437,Bmw Serie 1,9.290 €,120dA Cabrio,  Diesel,                              Madrid             ,                                  2009             ,                 164.605 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-120da-cabrio-en-madrid.htm?id=5058217
2438,Fiat Fiorino,2.980 €, Combi 1.3Mjt Elegant 4pl.,  Diesel,                              Barcelona             ,                                  2011             ,                 167.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-elegant-4pl-en-barcelona.htm?id=4675731
2439,Mini Mini,14.800 €, One D,  Diesel,                              Barcelona             ,                                  2016             ,                 26.959 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-barcelona.htm?id=4506531
2440,Ford Transit,9.998 €,FT 260S Van 100,  Diesel,                              Madrid             ,                                  2012             ,                 154.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-260s-van-100-en-madrid.htm?id=6849373
